,스패니쉬 마스티프_1,스패니쉬 마스티프_2,스패니쉬 마스티프_3,스패니쉬 마스티프_4,스패니쉬 마스티프_5,스패니쉬 마스티프_6,스패니쉬 마스티프_7,스패니쉬 마스티프_8,스패니쉬 마스티프_9,스패니쉬 마스티프_10,스패니쉬 마스티프_11,스패니쉬 마스티프_12,스패니쉬 마스티프_13,스패니쉬 마스티프_14,스패니쉬 마스티프_15,스패니쉬 마스티프_16,스패니쉬 마스티프_17,스패니쉬 마스티프_18,스패니쉬 마스티프_19,스패니쉬 마스티프_20
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.197757720947266,0.0,0.0,0.0,0.0,59.865203857421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.7215805053711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.67406463623047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.95063400268555,0.0,0.0,91.6976318359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coyote,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.242897033691406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.09063720703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.4434585571289,0.0,0.0,0.0,0.0,0.0,0.0
Goat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.534210205078125,0.0,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.7279052734375,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.7279052734375,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.63355255126953,0.0,0.0,0.0,0.0
Brochure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.57447052001953,0.0,0.0,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.57447052001953,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.118408203125,0.0,0.0,0.0,0.0
Collage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.16337585449219,0.0,0.0,0.0,0.0
Airedale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.89012145996094,0.0,0.0,0.0
Boston Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.74012756347656,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.45308685302734,0.0
Harness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.35341262817383,0.0
Poodle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.33650207519531
