,뉴펀들랜드_1,뉴펀들랜드_2,뉴펀들랜드_3,뉴펀들랜드_4,뉴펀들랜드_5,뉴펀들랜드_6,뉴펀들랜드_7,뉴펀들랜드_8,뉴펀들랜드_9,뉴펀들랜드_10,뉴펀들랜드_11,뉴펀들랜드_12,뉴펀들랜드_13,뉴펀들랜드_14,뉴펀들랜드_15,뉴펀들랜드_16,뉴펀들랜드_17,뉴펀들랜드_18,뉴펀들랜드_19,뉴펀들랜드_20
Bush,0.0,0.0,0.0,56.63427734375,89.36663055419922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,56.63427734375,99.92411804199219,0.0,0.0,0.0,0.0,56.851478576660156,0.0,57.95870590209961,97.63583374023438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Land,0.0,0.0,0.0,0.0,99.00698852539062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.77631378173828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest,0.0,0.0,0.0,0.0,99.00698852539062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.77631378173828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tree,0.0,0.0,0.0,0.0,99.00698852539062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.77631378173828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woodland,0.0,0.0,0.0,0.0,99.00698852539062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.77631378173828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grove,0.0,0.0,0.0,0.0,93.70036315917969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.47685623168945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Park,0.0,0.0,0.0,0.0,84.47322082519531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawn,0.0,0.0,0.0,0.0,84.47322082519531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,0.0,0.0,0.0,0.0,83.30818939208984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jungle,0.0,0.0,0.0,0.0,82.83226013183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,79.40930938720703,86.47688293457031,0.0,0.0,60.483070373535156,86.59220123291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear,0.0,0.0,0.0,0.0,79.40930938720703,86.47688293457031,0.0,0.0,60.483070373535156,86.59220123291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rainforest,0.0,0.0,0.0,0.0,78.60296630859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,0.0,0.0,0.0,0.0,72.42338562011719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,0.0,0.0,0.0,68.56243133544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Girl,0.0,0.0,0.0,0.0,66.21202087402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photo,0.0,0.0,0.0,0.0,61.89698791503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portrait,0.0,0.0,0.0,0.0,61.89698791503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photography,0.0,0.0,0.0,0.0,61.89698791503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,57.997039794921875,66.49986267089844,0.0,0.0,87.2668228149414,60.29509735107422,0.0,0.0,55.70331573486328,0.0,0.0,97.80636596679688,67.53484344482422,0.0,96.21417236328125,0.0
Wilderness,0.0,0.0,0.0,0.0,57.655799865722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,0.0,0.0,57.6483268737793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green,0.0,0.0,0.0,0.0,55.49983215332031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,69.90788269042969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,88.69181060791016,0.0,0.0,0.0,86.96250915527344,0.0,0.0,0.0,0.0,56.76177978515625,67.44308471679688,0.0,0.0,0.0
Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,88.69181060791016,0.0,0.0,0.0,86.96250915527344,0.0,0.0,0.0,0.0,56.76177978515625,67.44308471679688,0.0,0.0,0.0
Afghan Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.022857666015625,0.0,0.0,0.0,0.0,0.0,0.0,77.65776824951172,0.0,0.0,80.0004653930664,0.0
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.13763427734375,57.9276008605957,0.0,0.0,0.0,77.96634674072266,76.25932312011719,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.76908874511719,0.0,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.76908874511719,0.0,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.50844192504883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.56935501098633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.56935501098633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.26873016357422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.26873016357422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.34861755371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.2406234741211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.44621276855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8013687133789,0.0,64.07831573486328,0.0,57.553306579589844,0.0,0.0,0.0
Wedding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0
Robe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0
Gown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0
Wedding Gown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0
Fashion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.76286315917969,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.7052001953125,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.254615783691406,0.0,0.0,0.0,0.0,0.0
Collie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.72603988647461,0.0
Chow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.21862030029297
