,보르도 마스티프_1,보르도 마스티프_2,보르도 마스티프_3,보르도 마스티프_4,보르도 마스티프_5,보르도 마스티프_6,보르도 마스티프_7,보르도 마스티프_8,보르도 마스티프_9,보르도 마스티프_10,보르도 마스티프_11,보르도 마스티프_12,보르도 마스티프_13,보르도 마스티프_14,보르도 마스티프_15,보르도 마스티프_16,보르도 마스티프_17,보르도 마스티프_18,보르도 마스티프_19,보르도 마스티프_20
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.77162170410156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.3350830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poultry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.3350830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.395652770996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0804672241211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Veterinarian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.94664764404297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.07646179199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.35340118408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.18541717529297,0.0
Pug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.37305450439453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Head,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.48065948486328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.84317779541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
