,피레니언 셰퍼드_1,피레니언 셰퍼드_2,피레니언 셰퍼드_3,피레니언 셰퍼드_4,피레니언 셰퍼드_5,피레니언 셰퍼드_6,피레니언 셰퍼드_7,피레니언 셰퍼드_8,피레니언 셰퍼드_9,피레니언 셰퍼드_10,피레니언 셰퍼드_11,피레니언 셰퍼드_12,피레니언 셰퍼드_13,피레니언 셰퍼드_14,피레니언 셰퍼드_15,피레니언 셰퍼드_16,피레니언 셰퍼드_17,피레니언 셰퍼드_18,피레니언 셰퍼드_19,피레니언 셰퍼드_20
Affenpinscher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.68537139892578,57.46478271484375,0.0,0.0,0.0,0.0,82.49005889892578,76.58187103271484,74.97618103027344,76.97034454345703,0.0,0.0,0.0
Bear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.6684799194336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.6684799194336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.45096969604492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.5489273071289,0.0,0.0,89.21124267578125
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0324478149414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0324478149414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.970245361328125,71.75841522216797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5473861694336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brochure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5473861694336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5473861694336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5473861694336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5473861694336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.2787094116211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Webpage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.85921478271484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.08218002319336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.21923065185547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.78585052490234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.83802795410156,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.34056091308594,0.0,0.0
Military,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.24637603759766,0.0,0.0
Military Uniform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.64732360839844,0.0,0.0
