,홋카이도 이누_1,홋카이도 이누_2,홋카이도 이누_3,홋카이도 이누_4,홋카이도 이누_5,홋카이도 이누_6,홋카이도 이누_7,홋카이도 이누_8,홋카이도 이누_9,홋카이도 이누_10,홋카이도 이누_11,홋카이도 이누_12,홋카이도 이누_13,홋카이도 이누_14,홋카이도 이누_15,홋카이도 이누_16,홋카이도 이누_17,홋카이도 이누_18,홋카이도 이누_19,홋카이도 이누_20
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.75434875488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.38533020019531,0.0
Leash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.424949645996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.61628341674805,0.0,0.0,0.0,0.0,0.0,72.10055541992188,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.01400756835938,0.0,0.0,0.0,0.0,0.0,0.0
Sled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.90721893310547,0.0,0.0,0.0,0.0,0.0,0.0
Diaper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.95890045166016,0.0,0.0,0.0,0.0,0.0
Den,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.730995178222656,0.0,0.0,0.0,0.0,0.0
Building,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.776302337646484,0.0,0.0,0.0,0.0
Housing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.776302337646484,0.0,0.0,0.0,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.78372955322266,0.0,0.0,0.0
Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.95344543457031
