,코몬도르_1,코몬도르_2,코몬도르_3,코몬도르_4,코몬도르_5,코몬도르_6,코몬도르_7,코몬도르_8,코몬도르_9,코몬도르_10,코몬도르_11,코몬도르_12,코몬도르_13,코몬도르_14,코몬도르_15,코몬도르_16,코몬도르_17,코몬도르_18,코몬도르_19,코몬도르_20
Vase,0.0,0.0,0.0,0.0,0.0,55.95017623901367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jar,0.0,0.0,0.0,0.0,0.0,55.95017623901367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pottery,0.0,0.0,0.0,0.0,0.0,55.95017623901367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Potted Plant,0.0,0.0,0.0,0.0,0.0,55.95017623901367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,99.99995422363281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storm,0.0,0.0,0.0,0.0,0.0,0.0,99.99995422363281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weather,0.0,0.0,0.0,0.0,0.0,0.0,57.789344787597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ice,0.0,0.0,0.0,0.0,0.0,0.0,56.838645935058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.02437591552734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poultry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.33401489257812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.33401489257812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.33401489257812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.33401489257812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.05914306640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.05914306640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.69471740722656,0.0,0.0,0.0,97.72754669189453,0.0,80.44786071777344,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.701602935791016,0.0,0.0,0.0,0.0,0.0,59.13087844848633,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.93095397949219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.14836883544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.56607818603516,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.56607818603516,0.0,0.0
Collage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.56607818603516,0.0,0.0
