,자이언트 슈나우저_1,자이언트 슈나우저_2,자이언트 슈나우저_3,자이언트 슈나우저_4,자이언트 슈나우저_5,자이언트 슈나우저_6,자이언트 슈나우저_7,자이언트 슈나우저_8,자이언트 슈나우저_9,자이언트 슈나우저_10,자이언트 슈나우저_11,자이언트 슈나우저_12,자이언트 슈나우저_13,자이언트 슈나우저_14,자이언트 슈나우저_15,자이언트 슈나우저_16,자이언트 슈나우저_17,자이언트 슈나우저_18,자이언트 슈나우저_19,자이언트 슈나우저_20
Plant,0.0,0.0,0.0,0.0,76.81233215332031,0.0,59.14432144165039,0.0,0.0,0.0,0.0,0.0,74.21688079833984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fashion,0.0,0.0,0.0,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wedding,0.0,0.0,0.0,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gown,0.0,0.0,0.0,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wedding Gown,0.0,0.0,0.0,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robe,0.0,0.0,0.0,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,0.0,0.0,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,0.0,0.0,0.0,0.0,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,0.0,0.0,0.0,81.7627944946289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,0.0,70.70487976074219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soil,0.0,0.0,0.0,0.0,0.0,0.0,61.43472671508789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pointer,0.0,0.0,0.0,0.0,0.0,0.0,60.765811920166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ground,0.0,0.0,0.0,0.0,0.0,0.0,58.458473205566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.93517303466797,0.0,68.74176025390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75381469726562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75381469726562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Affenpinscher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.67689514160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.29304504394531
