,고든 세터_1,고든 세터_2,고든 세터_3,고든 세터_4,고든 세터_5,고든 세터_6,고든 세터_7,고든 세터_8,고든 세터_9,고든 세터_10,고든 세터_11,고든 세터_12,고든 세터_13,고든 세터_14,고든 세터_15,고든 세터_16,고든 세터_17,고든 세터_18,고든 세터_19,고든 세터_20
Hat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6454086303711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6454086303711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.75863647460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.55908203125,0.0,0.0,0.0,0.0,0.0,57.07649230957031,0.0,0.0,0.0
Painting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.55908203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.75331115722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.502662658691406,0.0
Coyote,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5005111694336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dinosaur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.41752624511719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reptile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.41752624511719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.58614349365234,0.0,0.0,0.0
Blossom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.58614349365234,0.0,0.0,0.0
Flower Arrangement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.23192596435547,0.0,0.0,0.0
Flower Bouquet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.83547973632812,0.0,0.0,0.0
Pattern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.07649230957031,0.0,0.0,0.0
Graphics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.07649230957031,0.0,0.0,0.0
Floral Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.07649230957031,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.418601989746094,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.35713195800781,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.893028259277344,0.0
