,잉글리시 폭스하운드_1,잉글리시 폭스하운드_2,잉글리시 폭스하운드_3,잉글리시 폭스하운드_4,잉글리시 폭스하운드_5,잉글리시 폭스하운드_6,잉글리시 폭스하운드_7,잉글리시 폭스하운드_8,잉글리시 폭스하운드_9,잉글리시 폭스하운드_10,잉글리시 폭스하운드_11,잉글리시 폭스하운드_12,잉글리시 폭스하운드_13,잉글리시 폭스하운드_14,잉글리시 폭스하운드_15,잉글리시 폭스하운드_16,잉글리시 폭스하운드_17,잉글리시 폭스하운드_18,잉글리시 폭스하운드_19,잉글리시 폭스하운드_20
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.61297607421875,0.0,0.0,0.0,0.0,0.0,0.0
Confectionery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.59611892700195,0.0,0.0,0.0,0.0,0.0,0.0
Sweets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.59611892700195,0.0,0.0,0.0,0.0,0.0,0.0
Food,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.59611892700195,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0209732055664,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0209732055664,0.0,0.0,0.0,0.0
Footwear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.28962707519531,0.0,0.0,0.0,0.0
Shoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.28962707519531,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5196418762207,0.0,0.0,0.0,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.92146301269531,0.0,0.0
Husky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.96625900268555,0.0,0.0
Pointer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.29375457763672
