,피레니안 쉽독_1,피레니안 쉽독_2,피레니안 쉽독_3,피레니안 쉽독_4,피레니안 쉽독_5,피레니안 쉽독_6,피레니안 쉽독_7,피레니안 쉽독_8,피레니안 쉽독_9,피레니안 쉽독_10,피레니안 쉽독_11,피레니안 쉽독_12,피레니안 쉽독_13,피레니안 쉽독_14,피레니안 쉽독_15,피레니안 쉽독_16,피레니안 쉽독_17,피레니안 쉽독_18,피레니안 쉽독_19,피레니안 쉽독_20
Floor,0.0,0.0,0.0,0.0,0.0,0.0,63.858158111572266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,63.50480651855469,57.79027557373047,0.0,0.0,0.0,70.9469985961914,0.0,65.07211303710938,0.0,0.0,0.0,0.0,0.0,0.0
Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,58.532997131347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,58.452430725097656,0.0,0.0,0.0,0.0,60.5417366027832,0.0,79.34998321533203,99.43389892578125,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.76132202148438,0.0,0.0,0.0,78.22467803955078,0.0,0.0,0.0,0.0,0.0,96.28340911865234,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.55876922607422,0.0,0.0,0.0,0.0,85.57451629638672,0.0,0.0,76.94499969482422,0.0,0.0,0.0,68.63764953613281
Saint Bernard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.96055221557617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72882080078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fashion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72882080078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.76332092285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.870628356933594,0.0,0.0,0.0,0.0,0.0,0.0,74.73921203613281,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.9373550415039,0.0,0.0,0.0,0.0,0.0,62.968360900878906,96.14368438720703,0.0,0.0,0.0
Label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.9373550415039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.88716506958008,0.0,0.0,0.0,0.0,0.0,97.34818267822266,98.67955780029297,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.88716506958008,0.0,0.0,0.0,0.0,0.0,96.6451416015625,98.67955780029297,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.33997344970703,0.0,0.0,0.0,0.0,0.0,0.0,86.41255187988281,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.77230072021484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.80473327636719
Painting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.77230072021484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.80473327636719
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.29179382324219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sleeping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0246353149414,0.0,88.99928283691406,0.0,0.0,0.0,0.0,0.0,0.0
Asleep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0246353149414,0.0,88.99928283691406,0.0,0.0,0.0,0.0,0.0,0.0
Crowd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.37464141845703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Press Conference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.91581726074219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.23233032226562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Military,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.41307830810547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Military Uniform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.41307830810547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Board,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.353492736816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.27406692504883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armored,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.27406692504883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Army,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.27406692504883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.24164581298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Girl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.24164581298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.53107452392578,0.0,0.0,0.0,0.0,0.0,0.0
Diaper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.88643646240234,0.0,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.69465637207031,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.69465637207031,0.0,0.0,0.0,0.0,0.0,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.58253860473633,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.3704948425293,0.0,0.0,0.0,55.00479507446289,87.5398178100586,0.0
Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.66661071777344,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.42700958251953,0.0,0.0,0.0,0.0,0.0,0.0
Bench,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.62425994873047,0.0,0.0,0.0,0.0,0.0
Zoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.99810791015625,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6683349609375,0.0,0.0,0.0,0.0,0.0
Park Bench,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.25273132324219,0.0,0.0,0.0,0.0,0.0
Couch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.42215347290039,0.0,0.0,0.0,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5362777709961,97.7257308959961,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5362777709961,97.7257308959961,0.0,0.0,0.0
Brochure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5362777709961,97.7257308959961,0.0,0.0,0.0
Collage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.18873977661133,0.0,0.0,0.0,0.0
Family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.02077865600586,0.0,0.0,0.0,0.0
Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.02460479736328,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.92839813232422,0.0,0.0
Herd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2889175415039
Soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.42700958251953
Hunting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5338134765625
Arrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.928462982177734
