,코통 드 튈레아르_1,코통 드 튈레아르_2,코통 드 튈레아르_3,코통 드 튈레아르_4,코통 드 튈레아르_5,코통 드 튈레아르_6,코통 드 튈레아르_7,코통 드 튈레아르_8,코통 드 튈레아르_9,코통 드 튈레아르_10,코통 드 튈레아르_11,코통 드 튈레아르_12,코통 드 튈레아르_13,코통 드 튈레아르_14,코통 드 튈레아르_15,코통 드 튈레아르_16,코통 드 튈레아르_17,코통 드 튈레아르_18,코통 드 튈레아르_19,코통 드 튈레아르_20
Face,0.0,0.0,0.0,72.46953582763672,0.0,0.0,98.56071472167969,0.0,0.0,0.0,74.26402282714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,65.72239685058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,64.32628631591797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,63.7386474609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photo,0.0,0.0,0.0,63.305240631103516,0.0,0.0,76.23765563964844,0.0,0.0,0.0,0.0,0.0,69.81388854980469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photography,0.0,0.0,0.0,63.305240631103516,0.0,0.0,76.23765563964844,0.0,0.0,0.0,0.0,0.0,69.81388854980469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portrait,0.0,0.0,0.0,62.53461456298828,0.0,0.0,76.23765563964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flyer,0.0,0.0,0.0,58.42096710205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brochure,0.0,0.0,0.0,58.42096710205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toy,0.0,0.0,0.0,0.0,0.0,89.83171844482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teddy Bear,0.0,0.0,0.0,0.0,0.0,82.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,84.3741683959961,0.0,0.0,0.0,93.38664245605469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.41201400756836,0.0
Couch,0.0,0.0,0.0,0.0,0.0,0.0,84.3741683959961,0.0,0.0,0.0,93.38664245605469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.41201400756836,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,74.5325698852539,0.0,0.0,0.0,59.2395133972168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,73.81851959228516,0.0,0.0,0.0,74.65342712402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Selfie,0.0,0.0,0.0,0.0,0.0,0.0,68.33049774169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,64.51325988769531,0.0,0.0,0.0,56.77088928222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tub,0.0,0.0,0.0,0.0,0.0,0.0,58.823265075683594,0.0,71.1588134765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin,0.0,0.0,0.0,0.0,0.0,0.0,58.76496887207031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hair,0.0,0.0,0.0,0.0,0.0,0.0,58.5198974609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Man,0.0,0.0,0.0,0.0,0.0,0.0,56.26777267456055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.58478927612305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.99606323242188,66.25188446044922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bathtub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.1588134765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.047447204589844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diaper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98683166503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.65342712402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.55415344238281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Housing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.55415344238281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.29379272460938,59.62138748168945,0.0,91.26840209960938,0.0,82.32513427734375,58.235267639160156,78.4474868774414,0.0
Sunlight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.8973617553711,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.61140823364258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.17342376708984,0.0,0.0,0.0,0.0,0.0
Path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.25496673583984,0.0,0.0,0.0
Walkway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.1539077758789,0.0,0.0,0.0
Wedding Gown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.08609771728516
Robe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.08609771728516
Fashion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.08609771728516
Gown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.08609771728516
Wedding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.08609771728516
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.08609771728516
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.08609771728516
