,하바니즈_1,하바니즈_2,하바니즈_3,하바니즈_4,하바니즈_5,하바니즈_6,하바니즈_7,하바니즈_8,하바니즈_9,하바니즈_10,하바니즈_11,하바니즈_12,하바니즈_13,하바니즈_14,하바니즈_15,하바니즈_16,하바니즈_17,하바니즈_18,하바니즈_19,하바니즈_20
Teddy Bear,0.0,0.0,0.0,0.0,0.0,82.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,99.9999771118164,0.0,0.0,55.70292282104492,0.0,0.0,0.0,0.0,65.60887145996094,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,99.9999771118164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.60887145996094,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,99.30479431152344,0.0,57.035743713378906,68.47415161132812,0.0,0.0,0.0,0.0,55.663726806640625,0.0,0.0,0.0,0.0,0.0
Couch,0.0,0.0,0.0,0.0,0.0,0.0,98.50757598876953,0.0,0.0,65.54507446289062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bed,0.0,0.0,0.0,0.0,0.0,0.0,83.13320922851562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rug,0.0,0.0,0.0,0.0,0.0,0.0,80.16189575195312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,60.899269104003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,60.899269104003906,0.0,0.0,63.331295013427734,0.0,0.0,0.0,0.0,67.06293487548828,0.0,0.0,0.0,0.0,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,60.899269104003906,0.0,0.0,62.96173095703125,0.0,0.0,0.0,0.0,58.804569244384766,0.0,0.0,0.0,0.0,0.0
Sleeping,0.0,0.0,0.0,0.0,0.0,0.0,58.96709060668945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asleep,0.0,0.0,0.0,0.0,0.0,0.0,58.96709060668945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blanket,0.0,0.0,0.0,0.0,0.0,0.0,57.82735824584961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.730995178222656,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.022769927978516,0.0,59.65423583984375,0.0,0.0,0.0,0.0,56.337867736816406,85.48947143554688,76.10079193115234,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.9917106628418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.97372436523438,59.24101257324219,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.03955841064453,0.0,0.0,95.41646575927734,0.0,0.0,0.0,0.0,0.0,0.0,96.30847930908203,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.03955841064453,0.0,0.0,95.41646575927734,0.0,0.0,0.0,0.0,0.0,0.0,96.30847930908203,0.0
Photography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.06089782714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.06089782714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.196266174316406,0.0
Photo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.06089782714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portrait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.06089782714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
