,피레니안 마스티프_1,피레니안 마스티프_2,피레니안 마스티프_3,피레니안 마스티프_4,피레니안 마스티프_5,피레니안 마스티프_6,피레니안 마스티프_7,피레니안 마스티프_8,피레니안 마스티프_9,피레니안 마스티프_10,피레니안 마스티프_11,피레니안 마스티프_12,피레니안 마스티프_13,피레니안 마스티프_14,피레니안 마스티프_15,피레니안 마스티프_16,피레니안 마스티프_17,피레니안 마스티프_18,피레니안 마스티프_19,피레니안 마스티프_20
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.94225311279297,0.0,56.70996856689453,0.0,0.0,77.17032623291016,0.0,0.0,0.0,0.0,94.19911193847656
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.94225311279297,0.0,56.70996856689453,0.0,0.0,77.17032623291016,0.0,0.0,0.0,0.0,94.19911193847656
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.889530181884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.30937957763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crowd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.50912475585938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.03179931640625,0.0,0.0,57.6873779296875,83.43791961669922,0.0,0.0,0.0,0.0,87.22886657714844
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.49437713623047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Press Conference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.49223709106445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Video Gaming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.10139846801758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.19288635253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.28359985351562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.28359985351562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brochure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.15880584716797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.15880584716797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.88947296142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.78276824951172,56.56340408325195,57.26605224609375,0.0,0.0,0.0,64.2748031616211,0.0
White Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.03424072265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5761947631836,0.0,0.0,0.0,0.0,0.0
Coat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5761947631836,0.0,0.0,0.0,0.0,0.0
Photo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.83934783935547,0.0,0.0,0.0,0.0,62.67626190185547
Photography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.83934783935547,0.0,0.0,0.0,0.0,62.67626190185547
Poodle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.48267364501953,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.94395446777344
Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.493896484375
Lawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.493896484375
Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.45083618164062
Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.03277587890625
Tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.99077606201172
Portrait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.584869384765625
Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.38432693481445
Woodland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.38432693481445
Dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.63135528564453
Yard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.06511688232422
