,아이리시 세터_1,아이리시 세터_2,아이리시 세터_3,아이리시 세터_4,아이리시 세터_5,아이리시 세터_6,아이리시 세터_7,아이리시 세터_8,아이리시 세터_9,아이리시 세터_10,아이리시 세터_11,아이리시 세터_12,아이리시 세터_13,아이리시 세터_14,아이리시 세터_15,아이리시 세터_16,아이리시 세터_17,아이리시 세터_18,아이리시 세터_19,아이리시 세터_20
Jaguar,0.0,0.0,0.0,0.0,62.667320251464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leopard,0.0,0.0,0.0,0.0,62.667320251464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panther,0.0,0.0,0.0,0.0,62.667320251464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,98.51607513427734,0.0,0.0,0.0,0.0,55.78981399536133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plush,0.0,0.0,0.0,0.0,0.0,88.86287689208984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toy,0.0,0.0,0.0,0.0,0.0,88.86287689208984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,63.064613342285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.16134643554688,89.29454803466797,0.0,57.954368591308594,0.0,0.0,0.0,0.0,73.06038665771484,66.0090560913086,0.0,69.05558776855469,87.93082427978516
Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.16134643554688,89.29454803466797,0.0,57.954368591308594,0.0,0.0,0.0,0.0,73.06038665771484,66.0090560913086,0.0,69.05558776855469,87.93082427978516
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.16968536376953,0.0,0.0,0.0,56.75202941894531,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5848159790039,0.0,0.0,77.84415435791016,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5848159790039,0.0,0.0,77.84415435791016,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98651885986328,0.0,0.0,0.0,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.34735870361328,0.0,0.0
