,캉갈_1,캉갈_2,캉갈_3,캉갈_4,캉갈_5,캉갈_6,캉갈_7,캉갈_8,캉갈_9,캉갈_10,캉갈_11,캉갈_12,캉갈_13,캉갈_14,캉갈_15,캉갈_16,캉갈_17,캉갈_18,캉갈_19,캉갈_20
Red Wolf,0.0,0.0,0.0,0.0,0.0,55.447147369384766,0.0,0.0,74.73955535888672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.3760986328125,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,0.0,69.4757080078125,0.0,0.0,0.0,0.0,0.0,55.866241455078125,0.0,86.25891876220703,0.0,0.0,0.0,0.0,0.0
Tire,0.0,0.0,0.0,0.0,0.0,0.0,55.18156814575195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.14747619628906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.14747619628906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Helmet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.25167083740234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.95689392089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.9815673828125,0.0,71.57180786132812,0.0,0.0,0.0,0.0,0.0,55.36201858520508,0.0,0.0,0.0,55.423179626464844
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.15464782714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36371612548828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.99845123291016,0.0,57.60751724243164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.99845123291016,0.0,57.60751724243164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.93946838378906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.33650588989258,0.0,0.0,68.75420379638672,0.0,0.0,0.0,0.0,0.0,0.0
Waterfowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.997684478759766,59.160911560058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.3794059753418,0.0,57.60751724243164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.2956657409668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.2956657409668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.71402740478516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.59722137451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.574405670166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.60751724243164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Halter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.60751724243164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.54718017578125,0.0,0.0,0.0,0.0,0.0,0.0
Drawing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.97626495361328,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.97626495361328,0.0,0.0,0.0,0.0,0.0,0.0
Label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.333396911621094,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.21518325805664,0.0,0.0,0.0,0.0,0.0,0.0
Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.021583557128906,0.0,0.0,0.0,0.0,0.0,0.0
Pug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.16621398925781,0.0,0.0,0.0,0.0
Rodent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.86912536621094,0.0,0.0,0.0
Rat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.86912536621094,0.0,0.0,0.0
Coyote,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.90311050415039,0.0,0.0,0.0
Teeth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.090980529785156,0.0,0.0,0.0
Mouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.090980529785156,0.0,0.0,0.0
Lip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.090980529785156,0.0,0.0,0.0
Hook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.97412109375,0.0,0.0
Claw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5541000366211,0.0,0.0
