,저먼 헌팅 테리어_1,저먼 헌팅 테리어_2,저먼 헌팅 테리어_3,저먼 헌팅 테리어_4,저먼 헌팅 테리어_5,저먼 헌팅 테리어_6,저먼 헌팅 테리어_7,저먼 헌팅 테리어_8,저먼 헌팅 테리어_9,저먼 헌팅 테리어_10,저먼 헌팅 테리어_11,저먼 헌팅 테리어_12,저먼 헌팅 테리어_13,저먼 헌팅 테리어_14,저먼 헌팅 테리어_15,저먼 헌팅 테리어_16,저먼 헌팅 테리어_17,저먼 헌팅 테리어_18,저먼 헌팅 테리어_19,저먼 헌팅 테리어_20
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.1987075805664,0.0,74.50279998779297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.44694137573242,0.0,57.34353256225586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appenzeller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.82208251953125,0.0,0.0,0.0,0.0,74.09611511230469,0.0,88.80188751220703,0.0,0.0,59.134830474853516,0.0,0.0
Spoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.96000671386719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.06044006347656,0.0,61.66705322265625
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.96000671386719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.28179168701172,0.0,61.66705322265625
Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.09269714355469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.28179168701172,0.0,57.80972671508789
Car Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2770881652832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.87648391723633,57.5680046081543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.44218444824219,77.98815155029297,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.9526596069336,0.0,0.0,0.0,0.0,0.0,0.0,58.512271881103516,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.9526596069336,0.0,0.0,0.0,0.0,0.0,0.0,58.512271881103516,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.89928436279297,0.0,0.0,82.73424530029297,0.0,99.2630386352539,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.1185073852539,0.0,0.0,77.44275665283203,0.0,72.79869079589844,0.0,0.0,0.0,0.0
Menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.65998840332031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ticket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.65926361083984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.1019515991211,0.0,0.0,77.44275665283203,0.0,0.0,0.0,0.0,0.0,0.0
Brochure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.1019515991211,0.0,0.0,77.44275665283203,0.0,0.0,0.0,0.0,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.1019515991211,0.0,0.0,77.44275665283203,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.1019515991211,0.0,0.0,77.44275665283203,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.73466491699219,0.0,0.0,0.0,0.0,0.0,0.0,68.89183044433594,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.4811019897461,0.0,0.0,70.77586364746094,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.851016998291016,0.0,0.0,0.0,0.0,64.07855224609375,0.0,55.056495666503906,0.0
Boxer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.851016998291016,0.0,0.0,0.0,0.0,64.07855224609375,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.67140197753906,0.0,0.0,0.0,0.0,55.43281173706055,0.0,0.0,0.0
Hyena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.549835205078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.549835205078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.7496566772461,0.0,0.0,0.0,0.0,0.0,0.0
Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.7496566772461,0.0,0.0,0.0,0.0,0.0,0.0
Plot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5207290649414,0.0,0.0,0.0,0.0,0.0,0.0
Diagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.59189224243164,0.0,0.0,0.0,0.0,0.0,0.0
Martial Arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.17848587036133,0.0,0.0,0.0,0.0,0.0,0.0
Exercise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.17729949951172,0.0,0.0,0.0,0.0,0.0,0.0
Working Out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.17729949951172,0.0,0.0,0.0,0.0,0.0,0.0
Beagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.781898498535156,0.0,0.0,0.0,0.0,0.0
License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.95215606689453,0.0,0.0,0.0,0.0
Document,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.95215606689453,0.0,0.0,0.0,0.0
Driving License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.95215606689453,0.0,0.0,0.0,0.0
Id Cards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.02310562133789,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.27565002441406,0.0,0.0,0.0
Countryside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.27565002441406,0.0,0.0,0.0
Leash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.03851318359375
Halter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.94583511352539
Gear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.94583511352539
