,라포니안 허더_1,라포니안 허더_2,라포니안 허더_3,라포니안 허더_4,라포니안 허더_5,라포니안 허더_6,라포니안 허더_7,라포니안 허더_8,라포니안 허더_9,라포니안 허더_10,라포니안 허더_11,라포니안 허더_12,라포니안 허더_13,라포니안 허더_14,라포니안 허더_15,라포니안 허더_16,라포니안 허더_17,라포니안 허더_18,라포니안 허더_19,라포니안 허더_20
Tire,0.0,0.0,0.0,0.0,56.530208587646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog House,0.0,0.0,0.0,0.0,0.0,95.47857666015625,0.0,0.0,0.0,0.0,0.0,0.0,65.49742126464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Den,0.0,0.0,0.0,0.0,0.0,95.47857666015625,0.0,0.0,0.0,0.0,0.0,0.0,70.84466552734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kennel,0.0,0.0,0.0,0.0,0.0,82.79127502441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brick,0.0,0.0,0.0,0.0,0.0,0.0,57.29137420654297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,57.214012145996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.4842758178711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.06492614746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.90438842773438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.90438842773438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.92499542236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.09321594238281,0.0,0.0,0.0,57.2870979309082,0.0,0.0
Poodle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.89670181274414,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.02684783935547,0.0,0.0
Jeans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.53067779541016,0.0,0.0
Denim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.53067779541016,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.71583557128906,0.0,0.0
