,브리어드_1,브리어드_2,브리어드_3,브리어드_4,브리어드_5,브리어드_6,브리어드_7,브리어드_8,브리어드_9,브리어드_10,브리어드_11,브리어드_12,브리어드_13,브리어드_14,브리어드_15,브리어드_16,브리어드_17,브리어드_18,브리어드_19,브리어드_20
Kitten,0.0,0.0,0.0,0.0,57.31493377685547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,55.93263244628906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.734375,0.0,0.0,0.0,0.0,0.0,0.0
Menu,0.0,0.0,0.0,0.0,0.0,98.69718933105469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invertebrate,0.0,0.0,0.0,0.0,0.0,80.23985290527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Insect,0.0,0.0,0.0,0.0,0.0,78.05406188964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logo,0.0,0.0,0.0,0.0,0.0,59.6073112487793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Symbol,0.0,0.0,0.0,0.0,0.0,59.6073112487793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trademark,0.0,0.0,0.0,0.0,0.0,59.6073112487793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hornet,0.0,0.0,0.0,0.0,0.0,59.38216781616211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bee,0.0,0.0,0.0,0.0,0.0,59.38216781616211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wasp,0.0,0.0,0.0,0.0,0.0,59.38216781616211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrena,0.0,0.0,0.0,0.0,0.0,59.38216781616211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,99.8695068359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,99.81269836425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,99.81269836425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Table,0.0,0.0,0.0,0.0,0.0,0.0,99.34461212158203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pool Table,0.0,0.0,0.0,0.0,0.0,0.0,96.95016479492188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
