,서식스 스패니얼_1,서식스 스패니얼_2,서식스 스패니얼_3,서식스 스패니얼_4,서식스 스패니얼_5,서식스 스패니얼_6,서식스 스패니얼_7,서식스 스패니얼_8,서식스 스패니얼_9,서식스 스패니얼_10,서식스 스패니얼_11,서식스 스패니얼_12,서식스 스패니얼_13,서식스 스패니얼_14,서식스 스패니얼_15,서식스 스패니얼_16,서식스 스패니얼_17,서식스 스패니얼_18,서식스 스패니얼_19,서식스 스패니얼_20
Brochure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.69806671142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.69806671142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.69806671142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.69806671142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.311866760253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Performer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.63677215576172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.00199127197266,97.76303100585938,0.0,73.92909240722656,0.0,76.67414093017578,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.00199127197266,97.76303100585938,0.0,73.92909240722656,0.0,76.67414093017578,0.0
Envelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5379638671875,0.0,0.0,0.0,0.0,0.0,0.0
Accessory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.19631958007812,0.0,0.0,0.0,0.0,0.0,0.0
Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.19631958007812,0.0,0.0,0.0,0.0,0.0,0.0
Symbol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.39511108398438,0.0,0.0,0.0,0.0,80.24244689941406,0.0
Bag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.493072509765625,0.0,0.0,0.0,0.0,0.0,0.0
Tie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.273277282714844,0.0,0.0,0.0,0.0,0.0,0.0
Mail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.643070220947266,0.0,0.0,0.0,0.0,0.0,0.0
Barefoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.26622009277344,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.97711944580078,0.0,0.0,0.0,0.0,62.74103927612305
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.97711944580078,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55409622192383,0.0,0.0,0.0,0.0,0.0
Diaper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.1937026977539,0.0,0.0,0.0
Toy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.42965698242188,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8914794921875,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8914794921875,0.0,0.0
Shorts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8147964477539,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.40812683105469,0.0,0.0
Oars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.3733901977539,0.0,0.0
Paddle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.3733901977539,0.0,0.0
Hurdle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.04666900634766,0.0,0.0
Trademark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.81640625,0.0
Logo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.81640625,0.0
Number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.7431640625,0.0
Plastic Wrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97282409667969
Painting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.33325958251953
