,노르웨이 엘크 하운드_1,노르웨이 엘크 하운드_2,노르웨이 엘크 하운드_3,노르웨이 엘크 하운드_4,노르웨이 엘크 하운드_5,노르웨이 엘크 하운드_6,노르웨이 엘크 하운드_7,노르웨이 엘크 하운드_8,노르웨이 엘크 하운드_9,노르웨이 엘크 하운드_10,노르웨이 엘크 하운드_11,노르웨이 엘크 하운드_12,노르웨이 엘크 하운드_13,노르웨이 엘크 하운드_14,노르웨이 엘크 하운드_15,노르웨이 엘크 하운드_16,노르웨이 엘크 하운드_17,노르웨이 엘크 하운드_18,노르웨이 엘크 하운드_19,노르웨이 엘크 하운드_20
Face,0.0,0.0,0.0,0.0,61.63648986816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,61.261714935302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hair,0.0,0.0,0.0,0.0,57.860992431640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,98.93753051757812,59.054683685302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,63.51776885986328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,0.0,0.0,55.635467529296875,0.0,0.0,0.0,0.0,0.0,64.12496185302734,60.15610885620117,70.8449935913086,59.525596618652344,0.0,83.70931243896484,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,93.69889831542969,0.0,73.38428497314453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,93.69889831542969,0.0,73.38428497314453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.744712829589844,0.0,0.0,0.0,65.01385498046875,0.0,0.0,56.52988815307617,0.0,0.0,59.081912994384766,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.30396270751953,87.21546936035156,0.0,74.90097045898438,87.79863739013672,0.0,0.0,94.18856811523438,0.0,0.0,0.0,75.47822570800781
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.00909423828125,0.0,0.0,0.0,60.99612808227539,0.0,0.0,59.44607162475586,0.0,0.0,0.0,0.0
Chow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.60029602050781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coyote,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.46647644042969,0.0,0.0,84.12757873535156,0.0,0.0,0.0
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.023826599121094
