,잉글리시 세터_1,잉글리시 세터_2,잉글리시 세터_3,잉글리시 세터_4,잉글리시 세터_5,잉글리시 세터_6,잉글리시 세터_7,잉글리시 세터_8,잉글리시 세터_9,잉글리시 세터_10,잉글리시 세터_11,잉글리시 세터_12,잉글리시 세터_13,잉글리시 세터_14,잉글리시 세터_15,잉글리시 세터_16,잉글리시 세터_17,잉글리시 세터_18,잉글리시 세터_19,잉글리시 세터_20
Pointer,0.0,0.0,0.0,0.0,56.68743896484375,0.0,0.0,0.0,0.0,0.0,0.0,82.77337646484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.99638366699219
Beagle,0.0,0.0,0.0,0.0,55.216880798339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,63.064613342285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.91832733154297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0613021850586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.210391998291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalmatian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.884132385253906,58.67684555053711,0.0,0.0,0.0,0.0,96.51749420166016,90.36153411865234,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.65328216552734,0.0,0.0,97.90365600585938,0.0,65.65499877929688,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.65328216552734,0.0,0.0,97.90365600585938,0.0,65.65499877929688,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.64383697509766,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.64383697509766,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.76339340209961,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.30245971679688,0.0,0.0
Flame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.97117614746094,0.0,0.0
Fire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.97117614746094,0.0,0.0
Bonfire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.97117614746094,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.41346740722656,0.0,0.0
Angora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.71967315673828,0.0,0.0
Face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.99774169921875,0.0,0.0
