,아메리칸 스태퍼드셔 테리어_1,아메리칸 스태퍼드셔 테리어_2,아메리칸 스태퍼드셔 테리어_3,아메리칸 스태퍼드셔 테리어_4,아메리칸 스태퍼드셔 테리어_5,아메리칸 스태퍼드셔 테리어_6,아메리칸 스태퍼드셔 테리어_7,아메리칸 스태퍼드셔 테리어_8,아메리칸 스태퍼드셔 테리어_9,아메리칸 스태퍼드셔 테리어_10,아메리칸 스태퍼드셔 테리어_11,아메리칸 스태퍼드셔 테리어_12,아메리칸 스태퍼드셔 테리어_13,아메리칸 스태퍼드셔 테리어_14,아메리칸 스태퍼드셔 테리어_15,아메리칸 스태퍼드셔 테리어_16,아메리칸 스태퍼드셔 테리어_17,아메리칸 스태퍼드셔 테리어_18,아메리칸 스태퍼드셔 테리어_19,아메리칸 스태퍼드셔 테리어_20
Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.35157012939453,0.0,0.0,0.0,0.0,0.0
Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.35157012939453,0.0,0.0,0.0,0.0,0.0
Soccer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.35157012939453,0.0,0.0,0.0,0.0,0.0
Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.35157012939453,0.0,0.0,0.0,0.0,0.0
Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.35157012939453,0.0,0.0,0.0,0.0,0.0
Gear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.77232360839844,0.0,0.0,0.0,0.0,0.0
Halter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.77232360839844,0.0,0.0,0.0,0.0,0.0
Alloy Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.309532165527344,0.0,0.0,0.0,0.0,0.0
Word,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.33942413330078,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.96828842163086,0.0
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.97536849975586,0.0
