,케이넌 도그_1,케이넌 도그_2,케이넌 도그_3,케이넌 도그_4,케이넌 도그_5,케이넌 도그_6,케이넌 도그_7,케이넌 도그_8,케이넌 도그_9,케이넌 도그_10,케이넌 도그_11,케이넌 도그_12,케이넌 도그_13,케이넌 도그_14,케이넌 도그_15,케이넌 도그_16,케이넌 도그_17,케이넌 도그_18,케이넌 도그_19,케이넌 도그_20
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.16973876953125,0.0,57.79180145263672,0.0,0.0,0.0,0.0,0.0,0.0,55.47153091430664,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.43769836425781,0.0,0.0,0.0,0.0,0.0,73.06482696533203,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.37144470214844,75.6346664428711,0.0,0.0,0.0,0.0,0.0,0.0,55.25813293457031,0.0,0.0,55.59418487548828
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.52729034423828,0.0,0.0,0.0,88.76078033447266,0.0,0.0,0.0,0.0,0.0,0.0
Coyote,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.6657485961914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.56688690185547,56.99907302856445,74.07000732421875,55.94013595581055,0.0,0.0,0.0,75.15865325927734,74.62957000732422,64.07028198242188
Red Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.01293182373047,56.99907302856445,74.07000732421875,55.94013595581055,0.0,0.0,0.0,75.15865325927734,74.62957000732422,64.07028198242188
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.79180145263672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.84477233886719,0.0,0.0,0.0,0.0,0.0,55.47153091430664,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.48362350463867,0.0,0.0,0.0,0.0,0.0,55.47153091430664,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.2464828491211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.80373001098633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.80373001098633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
