,컬리코티드 레트리버_1,컬리코티드 레트리버_2,컬리코티드 레트리버_3,컬리코티드 레트리버_4,컬리코티드 레트리버_5,컬리코티드 레트리버_6,컬리코티드 레트리버_7,컬리코티드 레트리버_8,컬리코티드 레트리버_9,컬리코티드 레트리버_10,컬리코티드 레트리버_11,컬리코티드 레트리버_12,컬리코티드 레트리버_13,컬리코티드 레트리버_14,컬리코티드 레트리버_15,컬리코티드 레트리버_16,컬리코티드 레트리버_17,컬리코티드 레트리버_18,컬리코티드 레트리버_19,컬리코티드 레트리버_20
Pottery,0.0,0.0,0.0,0.0,58.476226806640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vase,0.0,0.0,0.0,0.0,58.476226806640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Potted Plant,0.0,0.0,0.0,0.0,58.032554626464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flower Arrangement,0.0,0.0,0.0,0.0,57.340362548828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,99.64164733886719,0.0,0.0,0.0,0.0,0.0,94.10985565185547,0.0,87.09793090820312,0.0,0.0,0.0,0.0,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,95.98522186279297,88.57515716552734,58.8832893371582,0.0,0.0,80.8570327758789,0.0,0.0,56.26218032836914,0.0,84.12010192871094,0.0,0.0,55.7841911315918
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.09564971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.226776123046875,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.09564971923828,0.0,0.0,0.0,0.0,64.26963806152344,0.0,0.0,74.89391326904297,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.09564971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.09564971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.09564971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.4194107055664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.98928833007812,0.0,0.0,0.0,0.0
Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6183853149414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.09971618652344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.2278060913086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.79906463623047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.53001403808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.56169128417969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
