,웰시 코기_1,웰시 코기_2,웰시 코기_3,웰시 코기_4,웰시 코기_5,웰시 코기_6,웰시 코기_7,웰시 코기_8,웰시 코기_9,웰시 코기_10,웰시 코기_11,웰시 코기_12,웰시 코기_13,웰시 코기_14,웰시 코기_15,웰시 코기_16,웰시 코기_17,웰시 코기_18,웰시 코기_19,웰시 코기_20
Car Wheel,0.0,0.0,0.0,0.0,0.0,66.00347900390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kit Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.32949829101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.92693328857422,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.32949829101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.92693328857422,0.0,0.0,0.0
Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.32949829101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.92693328857422,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.345298767089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.79740142822266,0.0
Collie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4014663696289,0.0,0.0,65.10052490234375,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.08539581298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.97948455810547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.22917938232422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.22917938232422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ocean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.22917938232422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shoreline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.97057342529297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.19149017333984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.19149017333984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.93135833740234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0220718383789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.36430358886719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.97929382324219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.914329528808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Den,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.301292419433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.1875991821289,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.59650421142578,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.33546447753906,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.10260772705078,0.0,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.41621017456055,0.0,0.0,0.0,0.0
Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.41621017456055,0.0,0.0,0.0,0.0
Papillon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.84209442138672,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.39067840576172,0.0,0.0,0.0
Winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.39067840576172,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.39067840576172,0.0,0.0,0.0
