,포르투기즈 워터 도그_1,포르투기즈 워터 도그_2,포르투기즈 워터 도그_3,포르투기즈 워터 도그_4,포르투기즈 워터 도그_5,포르투기즈 워터 도그_6,포르투기즈 워터 도그_7,포르투기즈 워터 도그_8,포르투기즈 워터 도그_9,포르투기즈 워터 도그_10,포르투기즈 워터 도그_11,포르투기즈 워터 도그_12,포르투기즈 워터 도그_13,포르투기즈 워터 도그_14,포르투기즈 워터 도그_15,포르투기즈 워터 도그_16,포르투기즈 워터 도그_17,포르투기즈 워터 도그_18,포르투기즈 워터 도그_19,포르투기즈 워터 도그_20
Family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.75226593017578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crowd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.2132339477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.65756225585938,0.0,0.0,0.0,0.0,0.0,0.0
Coat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.00856018066406,0.0,0.0,0.0,0.0,0.0,0.0
Suit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.96772766113281,0.0,0.0,0.0,0.0,0.0,0.0
Overcoat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.96772766113281,0.0,0.0,0.0,0.0,0.0,0.0
Skin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.08039093017578,0.0,0.0,0.0,0.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.084774017333984,0.0,0.0,0.0,0.0,0.0,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.24901580810547,57.15657424926758,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.309814453125,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.31765747070312,0.0,0.0,0.0,0.0
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.99464797973633,0.0,0.0,0.0,0.0
Bear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.48357009887695,0.0,0.0,0.0
Hair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.56822967529297,0.0,0.0
