,로첸_1,로첸_2,로첸_3,로첸_4,로첸_5,로첸_6,로첸_7,로첸_8,로첸_9,로첸_10,로첸_11,로첸_12,로첸_13,로첸_14,로첸_15,로첸_16,로첸_17,로첸_18,로첸_19,로첸_20
Female,0.0,0.0,0.0,0.0,64.62613677978516,0.0,0.0,62.74920654296875,56.05377197265625,0.0,0.0,0.0,81.2976303100586,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,61.69961929321289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacket,0.0,0.0,0.0,0.0,55.96940231323242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coat,0.0,0.0,0.0,0.0,55.96940231323242,0.0,0.0,60.68132781982422,64.5262451171875,0.0,0.0,0.0,78.49217987060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,0.0,0.0,0.0,0.0,70.58136749267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,0.0,0.0,58.85957336425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.102046966552734,0.0,0.0,0.0
Collie,0.0,0.0,0.0,0.0,0.0,58.71598815917969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6109848022461,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,57.34947204589844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.91026306152344,98.36581420898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.3795166015625,81.4798812866211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.05386352539062,74.68476104736328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interior Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.41747283935547,57.00230026245117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dressing Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.75759887695312,58.806270599365234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.33712005615234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.56644439697266,0.0
Dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.70990753173828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Overcoat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.68132781982422,58.44416427612305,0.0,0.0,0.0,78.49217987060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.452884674072266,58.44416427612305,0.0,0.0,0.0,78.49217987060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Closet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.23799514770508,68.92552185058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mannequin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.30022430419922,58.268795013427734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.64356994628906,56.0297966003418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.06108856201172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Architecture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.06108856201172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
