,비즐라_1,비즐라_2,비즐라_3,비즐라_4,비즐라_5,비즐라_6,비즐라_7,비즐라_8,비즐라_9,비즐라_10,비즐라_11,비즐라_12,비즐라_13,비즐라_14,비즐라_15,비즐라_16,비즐라_17,비즐라_18,비즐라_19,비즐라_20
Pointer,0.0,0.0,0.0,0.0,0.0,0.0,66.95572662353516,0.0,0.0,78.20697784423828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.87281799316406
Toy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.18170166015625,75.40596771240234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.192626953125,66.01991271972656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.51126861572266,73.90657806396484,0.0,57.84892654418945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.51126861572266,73.90657806396484,0.0,57.84892654418945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crystal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.38321304321289,57.205806732177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jewelry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.80754089355469,0.0,57.84892654418945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.8358154296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.94189453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.93067169189453,0.0
Necklace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.84892654418945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Performer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.43992233276367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.3123893737793,0.0
Boy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.34876251220703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.87055206298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.87055206298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.87055206298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.87055206298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brochure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.87055206298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.65812683105469,0.0,0.0,0.0,0.0
Harness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.314453125,0.0,0.0
Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.71427917480469,0.0
Woman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.75035858154297,0.0
Photography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.05758666992188,0.0
Photo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.05758666992188,0.0
Portrait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.15010833740234,0.0
Elf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.288509368896484,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.301273345947266,0.0
