,이탤리언 그레이하운드_1,이탤리언 그레이하운드_2,이탤리언 그레이하운드_3,이탤리언 그레이하운드_4,이탤리언 그레이하운드_5,이탤리언 그레이하운드_6,이탤리언 그레이하운드_7,이탤리언 그레이하운드_8,이탤리언 그레이하운드_9,이탤리언 그레이하운드_10,이탤리언 그레이하운드_11,이탤리언 그레이하운드_12,이탤리언 그레이하운드_13,이탤리언 그레이하운드_14,이탤리언 그레이하운드_15,이탤리언 그레이하운드_16,이탤리언 그레이하운드_17,이탤리언 그레이하운드_18,이탤리언 그레이하운드_19,이탤리언 그레이하운드_20
Swimming,0.0,0.0,59.32466125488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,0.0,0.0,59.32466125488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,80.12347412109375,91.55918884277344,96.7824478149414,0.0,58.9365234375,93.88900756835938,0.0,0.0,0.0,0.0,99.90373992919922,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,60.98530578613281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,56.11899185180664,95.7837905883789,0.0,0.0,67.82579040527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.752685546875
Grass,0.0,0.0,0.0,0.0,63.71891403198242,0.0,0.0,67.55130004882812,0.0,0.0,0.0,0.0,99.58074188232422,0.0,0.0,0.0,0.0,0.0,0.0,83.5927963256836
Plant,0.0,0.0,0.0,0.0,63.71891403198242,0.0,0.0,67.55130004882812,0.0,0.0,0.0,0.0,99.58074188232422,0.0,0.0,0.0,0.0,0.0,0.0,83.5927963256836
Snout,0.0,0.0,0.0,0.0,0.0,56.249794006347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,74.67252349853516,0.0,0.0,0.0,96.5744857788086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Figurine,0.0,0.0,0.0,0.0,0.0,0.0,59.56849670410156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.06682586669922,0.0,0.0,0.0,0.0,97.18408966064453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.48028564453125,0.0,0.0,0.0,0.0,96.137939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.511104583740234,0.0,0.0,0.0,0.0,96.137939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.99734115600586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.99734115600586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Home Decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.6179084777832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6227912902832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Halter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6227912902832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6227912902832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pointer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.1986083984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.9786376953125
Leash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.19476318359375,0.0,0.0,0.0,0.0,86.59260559082031,0.0,0.0,0.0,0.0,0.0,0.0
Accessory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6920166015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6920166015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shorts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.230384826660156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.06488037109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drawing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.34693908691406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.34693908691406,0.0,0.0,0.0,0.0,62.16621780395508,0.0,78.70291137695312,78.4869384765625,0.0,0.0
Sketch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.75231170654297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.1760482788086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.56158447265625,0.0,0.0,0.0,92.10559844970703,0.0,0.0,0.0,0.0,0.0,0.0
Antelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.56158447265625,0.0,0.0,0.0,92.10559844970703,0.0,0.0,0.0,0.0,0.0,0.0
Diagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.066532135009766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.55501556396484,92.82113647460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.8408203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.70343017578125,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.02297973632812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.70343017578125,0.0
Couch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.62335205078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.62335205078125,57.61875915527344,0.0,0.0,0.0,0.0,0.0,0.0,57.98324966430664,0.0
Jeans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.2874526977539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.2874526977539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.93692779541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.93692779541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.7392807006836,0.0,0.0,0.0,55.64310073852539,0.0,0.0,55.40330505371094,0.0
Sleeping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.27650833129883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asleep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.27650833129883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.61875915527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.70574951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.70574951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.70574951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.3214111328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.35696411132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawn Mower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.76020812988281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.76020812988281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.28252029418945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sculpture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.16621780395508,0.0,78.70291137695312,78.4869384765625,0.0,0.0
Statue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.16621780395508,0.0,78.70291137695312,78.4869384765625,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.309234619140625,0.0,0.0,0.0,0.0,0.0
Wallaby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.601287841796875,59.616180419921875,0.0,0.0
Kangaroo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.601287841796875,59.616180419921875,0.0,0.0
Blanket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.45812225341797,0.0
Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.292667388916016,0.0
Girl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.292667388916016,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.9156494140625,0.0
Pitbull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.45881652832031
Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.45881652832031
