,솔로이츠 쿠인틀레_1,솔로이츠 쿠인틀레_2,솔로이츠 쿠인틀레_3,솔로이츠 쿠인틀레_4,솔로이츠 쿠인틀레_5,솔로이츠 쿠인틀레_6,솔로이츠 쿠인틀레_7,솔로이츠 쿠인틀레_8,솔로이츠 쿠인틀레_9,솔로이츠 쿠인틀레_10,솔로이츠 쿠인틀레_11,솔로이츠 쿠인틀레_12,솔로이츠 쿠인틀레_13,솔로이츠 쿠인틀레_14,솔로이츠 쿠인틀레_15,솔로이츠 쿠인틀레_16,솔로이츠 쿠인틀레_17,솔로이츠 쿠인틀레_18,솔로이츠 쿠인틀레_19,솔로이츠 쿠인틀레_20
Angora,0.0,0.0,0.0,55.63124465942383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manx,0.0,0.0,0.0,0.0,0.0,88.04486846923828,61.064727783203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egyptian Cat,0.0,0.0,0.0,0.0,0.0,72.66575622558594,84.7529067993164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abyssinian,0.0,0.0,0.0,0.0,0.0,57.43844985961914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,59.8282585144043,0.0,0.0,0.0,0.0,91.48046112060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.69975280761719,0.0,0.0,77.68384552001953,0.0,84.88444519042969,0.0,0.0,58.163177490234375,0.0,0.0,0.0,0.0
Bread,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.68250274658203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.52251434326172,0.0,0.0,0.0,0.0,79.08694458007812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.77609634399414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Powder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.01836395263672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.01836395263672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panoramic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97663879394531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97663879394531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97663879394531,0.0,0.0,0.0,0.0,60.116973876953125,0.0,0.0,0.0,0.0,0.0,63.646087646484375
Scenery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97663879394531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Landscape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97663879394531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mountain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.88798522949219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mountain Range,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.88798522949219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.69292449951172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wilderness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.6214599609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.56690216064453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.7916259765625,0.0,0.0,0.0,0.0,92.97208404541016,0.0,0.0,0.0,66.33504486083984,0.0
Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.70610809326172,0.0,0.0,0.0,0.0,90.62962341308594,0.0,0.0,0.0,55.21501159667969,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.70610809326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.7279281616211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.87889099121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.21501159667969,0.0
Breakfast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0193862915039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.42555236816406,0.0,0.0,0.0,0.0,61.01107406616211,0.0,0.0,0.0,0.0
Hat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.42555236816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.42555236816406,0.0,0.0,0.0,0.0,61.01107406616211,0.0,0.0,0.0,0.0
Cutlery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.463314056396484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.463314056396484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Figurine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0981216430664,55.71857833862305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.49055480957031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.88825988769531
Doll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.460269927978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confectionery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.88444519042969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.88444519042969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Box,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.03186798095703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.13321304321289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.59021759033203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.36032104492188,0.0,0.0,75.31536102294922,0.0,0.0,0.0
Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.36032104492188,0.0,0.0,75.31536102294922,0.0,0.0,0.0
Truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.36032104492188,0.0,0.0,75.31536102294922,0.0,0.0,0.0
Shooting Range,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.3398551940918,0.0,0.0,0.0,0.0,0.0,0.0
Bus Stop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.48600769042969,0.0,0.0,0.0,0.0,0.0,0.0
Scoreboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.73359298706055,0.0,0.0,0.0,0.0,0.0,0.0
Costume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.42621612548828,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.51103210449219,0.0,0.0,79.76250457763672,0.0
Meal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.163177490234375,0.0,0.0,0.0,0.0
Performer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.51382827758789,0.0,0.0,81.38530731201172,0.0
Photography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.36309051513672,0.0,70.7424545288086,0.0,0.0
Photo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.36309051513672,0.0,70.7424545288086,0.0,0.0
Sailor Suit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.098243713378906,0.0,0.0,0.0,0.0
Boy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.47480773925781,0.0,0.0
Accessory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.4981460571289,0.0,0.0
Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.4981460571289,0.0,0.0
