,블러드 하운드_1,블러드 하운드_2,블러드 하운드_3,블러드 하운드_4,블러드 하운드_5,블러드 하운드_6,블러드 하운드_7,블러드 하운드_8,블러드 하운드_9,블러드 하운드_10,블러드 하운드_11,블러드 하운드_12,블러드 하운드_13,블러드 하운드_14,블러드 하운드_15,블러드 하운드_16,블러드 하운드_17,블러드 하운드_18,블러드 하운드_19,블러드 하운드_20
Vehicle,0.0,0.0,0.0,94.95410919189453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.13352966308594,0.0,0.0
Car,0.0,0.0,0.0,84.03509521484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.13352966308594,0.0,0.0
Automobile,0.0,0.0,0.0,84.03509521484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.13352966308594,0.0,0.0
Sports Car,0.0,0.0,0.0,71.91903686523438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.53646087646484,0.0,0.0
Sand,0.0,0.0,0.0,65.7094955444336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sky,0.0,0.0,0.0,63.084617614746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aircraft,0.0,0.0,0.0,61.511871337890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Driving,0.0,0.0,0.0,59.26646423339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Race Car,0.0,0.0,0.0,58.752323150634766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.53646087646484,0.0,0.0
Land,0.0,0.0,0.0,57.670806884765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costume,0.0,0.0,0.0,0.0,99.89033508300781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.638893127441406,0.0,0.0,0.0,0.0,0.0
Armor,0.0,0.0,0.0,0.0,59.59524154663086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,59.31279754638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.50405502319336,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,59.31279754638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.50405502319336,0.0,0.0,0.0,0.0
