,실키 테리어_1,실키 테리어_2,실키 테리어_3,실키 테리어_4,실키 테리어_5,실키 테리어_6,실키 테리어_7,실키 테리어_8,실키 테리어_9,실키 테리어_10,실키 테리어_11,실키 테리어_12,실키 테리어_13,실키 테리어_14,실키 테리어_15,실키 테리어_16,실키 테리어_17,실키 테리어_18,실키 테리어_19,실키 테리어_20
Chihuahua,0.0,0.0,0.0,81.70088958740234,0.0,0.0,0.0,0.0,0.0,88.34536743164062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,75.68816375732422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.30888366699219,94.29600524902344,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,75.68816375732422,0.0,61.04049301147461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.96963500976562,94.29600524902344,0.0,0.0,0.0
Head,0.0,0.0,0.0,0.0,67.22621154785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,0.0,0.0,0.0,0.0,0.0,99.96026611328125,0.0,99.98546600341797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hardwood,0.0,0.0,0.0,0.0,0.0,99.93112182617188,0.0,99.83031463623047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor,0.0,0.0,0.0,0.0,0.0,99.70279693603516,0.0,58.7962760925293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flooring,0.0,0.0,0.0,0.0,0.0,99.54940032958984,0.0,55.820377349853516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plywood,0.0,0.0,0.0,0.0,0.0,68.12691497802734,0.0,75.40943145751953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,61.35573959350586,0.0,66.15486145019531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Affenpinscher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99298095703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.808441162109375,0.0,0.0
Blanket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.19983673095703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quilt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.3509521484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.56804656982422,0.0,0.0,97.97130584716797,0.0,0.0,0.0,0.0,0.0,0.0
Airedale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.56040573120117,0.0,0.0,55.117897033691406,0.0,0.0,59.25954818725586,0.0
Standing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.32923889160156,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.43376922607422,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.43376922607422,0.0,0.0,0.0,0.0,0.0
Couch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.324127197265625,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.324127197265625,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.74584197998047,0.0,0.0,0.0
Figurine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.31385040283203
