,오스트레일리언 캐틀 도그_1,오스트레일리언 캐틀 도그_2,오스트레일리언 캐틀 도그_3,오스트레일리언 캐틀 도그_4,오스트레일리언 캐틀 도그_5,오스트레일리언 캐틀 도그_6,오스트레일리언 캐틀 도그_7,오스트레일리언 캐틀 도그_8,오스트레일리언 캐틀 도그_9,오스트레일리언 캐틀 도그_10,오스트레일리언 캐틀 도그_11,오스트레일리언 캐틀 도그_12,오스트레일리언 캐틀 도그_13,오스트레일리언 캐틀 도그_14,오스트레일리언 캐틀 도그_15,오스트레일리언 캐틀 도그_16,오스트레일리언 캐틀 도그_17,오스트레일리언 캐틀 도그_18,오스트레일리언 캐틀 도그_19,오스트레일리언 캐틀 도그_20
Brochure,0.0,0.0,0.0,0.0,0.0,99.5430679321289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.45677947998047,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,99.5430679321289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.45677947998047,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,99.5430679321289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.98341369628906,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,99.5430679321289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.25265502929688,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,0.0,99.5430679321289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.45677947998047,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,83.30738830566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.74099731445312,0.0,0.0
Page,0.0,0.0,0.0,0.0,0.0,83.30738830566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.45818328857422,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,81.41185760498047,0.0,0.0,0.0,0.0,88.07272338867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1809310913086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.48877716064453,0.0
Sheep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.05941009521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6454086303711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6454086303711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.75863647460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.40925598144531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.40925598144531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coyote,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.64653015136719,0.0,0.0,0.0,0.0,81.2322006225586,0.0,0.0,58.46284866333008
Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.22344207763672,0.0,0.0,0.0,77.3617172241211,0.0,0.0,0.0,55.35447692871094
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.22344207763672,0.0,55.67891311645508,0.0,77.3617172241211,69.0682601928711,0.0,0.0,55.35447692871094
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.90510559082031,0.0,0.0,0.0,0.0,0.0,62.068626403808594,65.38729858398438
Spoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.36241912841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.36241912841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.53917694091797,0.0,0.0,0.0,0.0,0.0,0.0
Rodent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.21949768066406,0.0,0.0,0.0,0.0,0.0,0.0
Grey Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.12810516357422,0.0,0.0,0.0,0.0
Newspaper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.99639129638672,0.0,0.0
Tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.31653594970703,0.0
Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.11452102661133,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.04374313354492,0.0
Yard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.10999298095703,0.0
Kit Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.35447692871094
