,미니어처 핀셔_1,미니어처 핀셔_2,미니어처 핀셔_3,미니어처 핀셔_4,미니어처 핀셔_5,미니어처 핀셔_6,미니어처 핀셔_7,미니어처 핀셔_8,미니어처 핀셔_9,미니어처 핀셔_10,미니어처 핀셔_11,미니어처 핀셔_12,미니어처 핀셔_13,미니어처 핀셔_14,미니어처 핀셔_15,미니어처 핀셔_16,미니어처 핀셔_17,미니어처 핀셔_18,미니어처 핀셔_19,미니어처 핀셔_20
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9832878112793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.99689865112305,0.0,0.0,0.0,0.0,0.0,71.4975814819336,0.0,0.0,0.0,0.0,55.70254135131836,0.0
Figurine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.638519287109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.793846130371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0435905456543,56.810909271240234,80.89142608642578,0.0,70.39906311035156,0.0,73.00265502929688,79.57164001464844,0.0,76.93939971923828,55.05215072631836,90.39736938476562
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.31110382080078,0.0,0.0,0.0,0.0,0.0,59.46601104736328,0.0,0.0,0.0,0.0
Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.48927307128906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.34477996826172,98.14763641357422,97.25593566894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.34477996826172,98.14763641357422,97.25593566894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.758583068847656,89.5973129272461,78.49907684326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.16909408569336,64.02836608886719,62.389122009277344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.77928161621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.5973129272461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meadow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.02836608886719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.02836608886719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Countryside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.02836608886719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.02836608886719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.39665222167969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.314453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.423362731933594,0.0,0.0,0.0,73.38431549072266,0.0
Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.423362731933594,0.0,0.0,0.0,77.9632339477539,0.0
Husky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.98388671875,0.0,0.0,0.0,0.0
Tire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6069450378418,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.88146209716797
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.57547760009766
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.87948989868164
Brochure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.87948989868164
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.87948989868164
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.411434173583984
Spoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.411434173583984
