,진돗개_1,진돗개_2,진돗개_3,진돗개_4,진돗개_5,진돗개_6,진돗개_7,진돗개_8,진돗개_9,진돗개_10,진돗개_11,진돗개_12,진돗개_13,진돗개_14,진돗개_15,진돗개_16,진돗개_17,진돗개_18,진돗개_19,진돗개_20
Girl,0.0,0.0,0.0,0.0,93.93302154541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kid,0.0,0.0,0.0,0.0,93.93302154541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blonde,0.0,0.0,0.0,0.0,93.93302154541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,93.46061706542969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costume,0.0,0.0,0.0,0.0,91.93950653076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coat,0.0,0.0,0.0,0.0,83.98126983642578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacket,0.0,0.0,0.0,0.0,72.05680847167969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,62.743499755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Performer,0.0,0.0,0.0,0.0,59.738311767578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dress,0.0,0.0,0.0,0.0,57.91822052001953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,57.767913818359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blazer,0.0,0.0,0.0,0.0,57.167545318603516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laughing,0.0,0.0,0.0,0.0,56.72794723510742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Police,0.0,0.0,0.0,0.0,55.44508361816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor,0.0,0.0,0.0,0.0,0.0,95.32962036132812,0.0,0.0,62.512046813964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.6708755493164,0.0,56.573974609375,98.9172592163086,56.65816116333008,0.0,0.0,75.39523315429688,0.0,93.88068389892578,87.47386932373047,0.0,93.09884643554688
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.5926742553711,77.83032989501953,95.54679870605469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.70915222167969,0.0,80.47382354736328
Snowman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.5926742553711,77.83032989501953,95.54679870605469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.70915222167969,0.0,80.47382354736328
Winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.5926742553711,77.83032989501953,95.54679870605469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.70915222167969,0.0,80.47382354736328
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.5926742553711,77.83032989501953,95.54679870605469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.70915222167969,0.0,80.47382354736328
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.5926742553711,77.83032989501953,95.54679870605469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.70915222167969,0.0,80.47382354736328
