,그레이하운드_1,그레이하운드_2,그레이하운드_3,그레이하운드_4,그레이하운드_5,그레이하운드_6,그레이하운드_7,그레이하운드_8,그레이하운드_9,그레이하운드_10,그레이하운드_11,그레이하운드_12,그레이하운드_13,그레이하운드_14,그레이하운드_15,그레이하운드_16,그레이하운드_17,그레이하운드_18,그레이하운드_19,그레이하운드_20
Sports,0.0,0.0,0.0,59.32466125488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,0.0,0.0,0.0,59.32466125488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swimming,0.0,0.0,0.0,59.32466125488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hair,0.0,0.0,0.0,57.40274429321289,62.358360290527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Performer,0.0,0.0,0.0,56.142093658447266,75.76209259033203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing,0.0,0.0,0.0,0.0,91.84342956542969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bag,0.0,0.0,0.0,0.0,89.78601837158203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Backpack,0.0,0.0,0.0,0.0,85.27897644042969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,0.0,0.0,73.2112808227539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.02608108520508,0.0,0.0,0.0,0.0,0.0,0.0
Dress,0.0,0.0,0.0,0.0,69.05274200439453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,0.0,0.0,0.0,0.0,97.72754669189453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,0.0,0.0,0.0,0.0,0.0,0.0,96.21949005126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,95.64749145507812,0.0,0.0,0.0,58.307861328125,0.0,0.0,69.40270233154297,0.0,0.0,57.81869125366211,0.0,68.7392807006836,0.0
Plywood,0.0,0.0,0.0,0.0,0.0,0.0,91.47532653808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,68.84843444824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6187744140625,0.0
Box,0.0,0.0,0.0,0.0,0.0,0.0,59.665199279785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,55.71330261230469,0.0,0.0,0.0,0.0,0.0,0.0,74.08819580078125,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.39228057861328,0.0,58.936500549316406,0.0,0.0,78.72457885742188,0.0,0.0,85.12297821044922,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.46387481689453,0.0,77.0664291381836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.18408966064453
