,클럼버 스패니얼_1,클럼버 스패니얼_2,클럼버 스패니얼_3,클럼버 스패니얼_4,클럼버 스패니얼_5,클럼버 스패니얼_6,클럼버 스패니얼_7,클럼버 스패니얼_8,클럼버 스패니얼_9,클럼버 스패니얼_10,클럼버 스패니얼_11,클럼버 스패니얼_12,클럼버 스패니얼_13,클럼버 스패니얼_14,클럼버 스패니얼_15,클럼버 스패니얼_16,클럼버 스패니얼_17,클럼버 스패니얼_18,클럼버 스패니얼_19,클럼버 스패니얼_20
Person,0.0,0.0,0.0,0.0,0.0,72.40645599365234,0.0,0.0,0.0,0.0,76.2772445678711,0.0,0.0,0.0,0.0,0.0,84.93406677246094,0.0,0.0,0.0
Boston Bull,0.0,0.0,0.0,0.0,0.0,65.82292938232422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asleep,0.0,0.0,0.0,0.0,0.0,0.0,66.92222595214844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sleeping,0.0,0.0,0.0,0.0,0.0,0.0,66.92222595214844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.8733024597168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.51106262207031,0.0,0.0,0.0,79.54702758789062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.51106262207031,0.0,0.0,0.0,79.54702758789062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Painting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.57098388671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.57098388671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.22019958496094,0.0,90.0522689819336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.95256042480469,0.0,64.82150268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.46651458740234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.57479858398438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.92039489746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.963985443115234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.66041564941406,0.0,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.9021987915039,0.0,0.0,0.0,0.0
