,플롯 하운드_1,플롯 하운드_2,플롯 하운드_3,플롯 하운드_4,플롯 하운드_5,플롯 하운드_6,플롯 하운드_7,플롯 하운드_8,플롯 하운드_9,플롯 하운드_10,플롯 하운드_11,플롯 하운드_12,플롯 하운드_13,플롯 하운드_14,플롯 하운드_15,플롯 하운드_16,플롯 하운드_17,플롯 하운드_18,플롯 하운드_19,플롯 하운드_20
Halter,0.0,0.0,0.0,0.0,0.0,0.0,70.23016357421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gear,0.0,0.0,0.0,0.0,0.0,0.0,70.23016357421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,63.222450256347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin,0.0,0.0,0.0,0.0,0.0,0.0,61.11259078979492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tattoo,0.0,0.0,0.0,0.0,0.0,0.0,61.11259078979492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Military,0.0,0.0,0.0,0.0,0.0,0.0,58.78697204589844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.99561309814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.99561309814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.99561309814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99932861328125,0.0,0.0
Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.99561309814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99932861328125,0.0,0.0
