,와이어헤어드 포인팅 그리펀_1,와이어헤어드 포인팅 그리펀_2,와이어헤어드 포인팅 그리펀_3,와이어헤어드 포인팅 그리펀_4,와이어헤어드 포인팅 그리펀_5,와이어헤어드 포인팅 그리펀_6,와이어헤어드 포인팅 그리펀_7,와이어헤어드 포인팅 그리펀_8,와이어헤어드 포인팅 그리펀_9,와이어헤어드 포인팅 그리펀_10,와이어헤어드 포인팅 그리펀_11,와이어헤어드 포인팅 그리펀_12,와이어헤어드 포인팅 그리펀_13,와이어헤어드 포인팅 그리펀_14,와이어헤어드 포인팅 그리펀_15,와이어헤어드 포인팅 그리펀_16,와이어헤어드 포인팅 그리펀_17,와이어헤어드 포인팅 그리펀_18,와이어헤어드 포인팅 그리펀_19,와이어헤어드 포인팅 그리펀_20
Couch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.43000793457031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.43000793457031,77.53671264648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.8260726928711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.02901840209961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.54176330566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.63225555419922,97.37508392333984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diamond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.47834777832031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemstone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.47834777832031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.47834777832031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jewelry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.47834777832031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.47834777832031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.85100173950195,0.0,0.0,0.0,0.0,0.0,0.0
Drawing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2818832397461,0.0,0.0,0.0,0.0,0.0
Sketch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.34402465820312,0.0,0.0,0.0,0.0,0.0
Doodle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.19437026977539,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.529266357421875,0.0,0.0,0.0,0.0,0.0
Soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.93124389648438,0.0,0.0,0.0
