,에스트렐라 마운틴 독_1,에스트렐라 마운틴 독_2,에스트렐라 마운틴 독_3,에스트렐라 마운틴 독_4,에스트렐라 마운틴 독_5,에스트렐라 마운틴 독_6,에스트렐라 마운틴 독_7,에스트렐라 마운틴 독_8,에스트렐라 마운틴 독_9,에스트렐라 마운틴 독_10,에스트렐라 마운틴 독_11,에스트렐라 마운틴 독_12,에스트렐라 마운틴 독_13,에스트렐라 마운틴 독_14,에스트렐라 마운틴 독_15,에스트렐라 마운틴 독_16,에스트렐라 마운틴 독_17,에스트렐라 마운틴 독_18,에스트렐라 마운틴 독_19,에스트렐라 마운틴 독_20
Saint Bernard,0.0,0.0,0.0,0.0,0.0,0.0,74.17681121826172,58.496578216552734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.3388786315918,0.0,0.0
Cocker Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,57.242347717285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,57.242347717285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.4261245727539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.76206588745117,0.0,0.0,55.989620208740234,0.0,0.0,0.0,0.0,0.0,62.45223617553711,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.54716491699219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.27212524414062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.02224731445312,0.0,0.0,0.0,0.0,56.882568359375,56.128631591796875,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.32492065429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.26314163208008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
