,폼피츠_1,폼피츠_2,폼피츠_3,폼피츠_4,폼피츠_5,폼피츠_6,폼피츠_7,폼피츠_8,폼피츠_9,폼피츠_10,폼피츠_11,폼피츠_12,폼피츠_13,폼피츠_14,폼피츠_15,폼피츠_16,폼피츠_17,폼피츠_18,폼피츠_19,폼피츠_20
White Dog,0.0,0.0,0.0,0.0,0.0,0.0,87.13092041015625,57.376502990722656,0.0,71.71807098388672,0.0,0.0,0.0,77.84014129638672,0.0,0.0,64.14486694335938,0.0,74.06005096435547,58.97238540649414
Hat,0.0,0.0,0.0,0.0,0.0,0.0,86.75935363769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photography,0.0,0.0,0.0,0.0,0.0,0.0,78.89167022705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photo,0.0,0.0,0.0,0.0,0.0,0.0,78.89167022705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portrait,0.0,0.0,0.0,0.0,0.0,0.0,78.89167022705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Selfie,0.0,0.0,0.0,0.0,0.0,0.0,65.30949401855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Helmet,0.0,0.0,0.0,0.0,0.0,0.0,60.46577453613281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cap,0.0,0.0,0.0,0.0,0.0,0.0,60.01396942138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.605125427246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blossom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.605125427246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.14958953857422,0.0,0.0,0.0,64.72235107421875,0.0,0.0,0.0,0.0,0.0,0.0
