,보스롱_1,보스롱_2,보스롱_3,보스롱_4,보스롱_5,보스롱_6,보스롱_7,보스롱_8,보스롱_9,보스롱_10,보스롱_11,보스롱_12,보스롱_13,보스롱_14,보스롱_15,보스롱_16,보스롱_17,보스롱_18,보스롱_19,보스롱_20
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0030746459961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.91278076171875,0.0,0.0
Walkway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.98126220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.98126220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.23221588134766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.33533477783203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.33533477783203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.33533477783203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.10380554199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.91487884521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.85979461669922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.31601333618164,0.0,0.0
Neighborhood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.235836029052734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.3593635559082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.3593635559082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Girl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.56013870239258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.19500732421875,0.0,0.0,76.34870147705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Housing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.01547622680664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.638858795166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.638858795166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
